Symbol,TimeFrame,Spread,EAName,TestStart,TestEnd,Total trades,Profit factor,Maximal drawdown,Profit trades,Short position won,Long position won,Maximal consecutive count of wins,Maximal consecutive count of losses,ReportFile
GBPJPY,M15,5,Boxer003,2012.01.02,2014.12.27,283,1.43,5.08,78.45,72.99,87.16,24,4,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/Boxer003-GBPJPYM15-2012.01.02-2014.12.27x283PF1.43DD5.08.htm"),TakeProfit=300; StopLoss=130; NumberOfPast=50; NumberOfPast4RangeDet=50; Band=9; MALong=50; MAShort=40; BackPeriod=5; AscHist=0.005; TradeCount=1; AutoRestart=true;
USDJPY,M15,5,envelopeEA,2012.01.02,2014.12.27,677,1.93,5.12,73.56,61.72,80.76,26,5,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/envelopeEA-USDJPYM15-2012.01.02-2014.12.27x677PF1.93DD5.12.htm"),EnvPeriod=14; EnvDiv=0.02; EnvMA=50; EnvelopeDisplayFactor=1; Sig2PosLevel=10; Sig2PosThresh=1; SigPeriodRef=100; TakeProfit=160; StopLoss=100; TrailingStop=20; MinimumProfit=50; BreakEven=50; MaxPosition=1; OrderIntervalMinuts=240; Slippage=30; SpreadlimitPip=5; Lots=0.1; MagicNumber=556679; EnvPosExitPos=3; EnvPosExitNeg=-5;
GBPJPY,M15,5,envelopeEA006,2012.01.02,2014.12.27,697,1.35,55.96,65.57,52.92,73.76,11,4,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/envelopeEA006-GBPJPYM15-2012.01.02-2014.12.27x697PF1.35DD55.96.htm"),EnvPeriod=14; EnvDiv=0.02; EnvMA=50; EnvelopeDisplayFactor=1; Sig2PosLevel=10; Sig2PosThresh=1; SigPeriodRef=100; TakeProfit=160; StopLoss=100; TrailingStop=20; MinimumProfit=50; BreakEven=50; MaxPosition=1; OrderIntervalMinuts=240; Slippage=30; SpreadlimitPip=5; Lots=0.5; MagicNumber=556679;
USDJPY,M15,5,envelopeEA006,2012.01.02,2014.12.27,521,1.79,23.62,63.92,53.50,70.40,11,5,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/envelopeEA006-USDJPYM15-2012.01.02-2014.12.27x521PF1.79DD23.62.htm"),EnvPeriod=14; EnvDiv=0.02; EnvMA=50; EnvelopeDisplayFactor=1; Sig2PosLevel=10; Sig2PosThresh=1; SigPeriodRef=100; TakeProfit=160; StopLoss=100; TrailingStop=20; MinimumProfit=50; BreakEven=50; MaxPosition=1; OrderIntervalMinuts=240; Slippage=30; SpreadlimitPip=5; Lots=0.5; MagicNumber=556679;
USDJPY,M15,5,envelopeEA008,2012.01.02,2014.12.27,521,1.79,5.89,63.92,53.50,70.40,11,5,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/envelopeEA008-USDJPYM15-2012.01.02-2014.12.27x521PF1.79DD5.89.htm"),EnvPeriod=14; EnvDiv=0.02; EnvMA=50; EnvelopeDisplayFactor=1; Sig2PosLevel=10; Sig2PosThresh=1; SigPeriodRef=100; TakeProfit=160; StopLoss=100; TrailingStop=20; MinimumProfit=50; BreakEven=50; MaxPosition=1; OrderIntervalMinuts=240; Slippage=30; SpreadlimitPip=5; Lots=0.1; MagicNumber=556679; EnvPosExitPos=3; EnvPosExitNeg=-5;
USDJPY,M15,5,envelopeEA009,2012.01.02,2014.12.27,257,2.36,3.97,64.59,44.68,76.07,12,3,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/envelopeEA009-USDJPYM15-2012.01.02-2014.12.27x257PF2.36DD3.97.htm"),EnvPeriod=14; EnvDiv=0.02; EnvMA=50; EnvelopeDisplayFactor=1; Sig2PosLevel=10; Sig2PosThresh=1; SigPeriodRef=100; TakeProfit=140; StopLoss=140; TrailingStop=70; BreakEven=50; MaxPosition=1; OrderIntervalMinuts=240; Slippage=30; SpreadlimitPip=5; Lots=0.1; MagicNumber=556689; EnvPosExitPos=3; EnvPosExitNeg=-5; ExitPosMfi=80; ExitNegMfi=50;
USDJPY,M15,5,envelopeEA009,2012.01.02,2014.12.27,263,2.29,2.35,66.54,47.83,76.61,10,4,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/envelopeEA009-USDJPYM15-2012.01.02-2014.12.27x263PF2.29DD2.35.htm"),EnvPeriod=14; EnvDiv=0.02; EnvMA=50; EnvelopeDisplayFactor=1; Sig2PosLevel=10; Sig2PosThresh=1; SigPeriodRef=100; TakeProfit=140; StopLoss=140; TrailingStop=70; BreakEven=50; MaxPosition=1; OrderIntervalMinuts=240; Slippage=30; SpreadlimitPip=5; Lots=0.1; MagicNumber=556689; EnvPosExitPos=3; EnvPosExitNeg=-5; ExitPosMfi=80; ExitNegMfi=50;
USDJPY,M15,5,envelopeEA009,2012.01.02,2014.12.27,677,1.93,5.12,73.56,61.72,80.76,26,5,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/envelopeEA009-USDJPYM15-2012.01.02-2014.12.27x677PF1.93DD5.12.htm"),EnvPeriod=14; EnvDiv=0.02; EnvMA=50; EnvelopeDisplayFactor=1; Sig2PosLevel=10; Sig2PosThresh=1; SigPeriodRef=100; TakeProfit=160; StopLoss=100; TrailingStop=20; MinimumProfit=50; BreakEven=50; MaxPosition=1; OrderIntervalMinuts=240; Slippage=30; SpreadlimitPip=5; Lots=0.1; MagicNumber=556689; EnvPosExitPos=3; EnvPosExitNeg=-5;
USDJPY,M15,5,envelopeEA009,2013.12.02,2015.02.24,145,1.72,2.07,64.14,64.81,63.74,7,3,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/envelopeEA009-USDJPYM15-2013.12.02-2015.02.24x145PF1.72DD2.07.htm"),EnvPeriod=14; EnvDiv=0.02; EnvMA=50; EnvelopeDisplayFactor=1; Sig2PosLevel=10; Sig2PosThresh=1; SigPeriodRef=100; TakeProfit=50; StopLoss=50; TrailingStop=40; BreakEven=30; MaxPosition=1; OrderIntervalMinuts=240; Slippage=30; SpreadlimitPip=5; Lots=0.1; MagicNumber=556689; EnvPosExitPos=3; EnvPosExitNeg=-5; ExitPosMfi=80; ExitNegMfi=50;
GBPJPY,H1,5,ichimokuEA,2012.01.01,2014.12.28,344,1.57,7.38,47.97,49.15,47.72,3,8,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/ichimokuEA-GBPJPYH1-2012.01.01-2014.12.28x344PF1.57DD7.38.htm"),Lots=0.1; TakeProfit=280; StopLoss=120; TrailingStop=230; BreakEven=0; MaxPosition=1; OrderIntervalMinuts=0; Slippage=30; SpreadlimitPip=5; MagicNumber=1260000; Tenkan_sen=9; Kijyun_sen=26; Senkou_span_b=52; ATRPeriod=7; ATRWPRPeriod=50; ATRMulti=10; WPRPeriod=20; FractalBreakCount=3;
GBPJPY,H1,5,ichimokuEA,2012.01.02,2014.12.28,170,1.71,4.94,48.24,49.15,47.75,6,6,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/ichimokuEA-GBPJPYH1-2012.01.02-2014.12.28x170PF1.71DD4.94.htm"),Lots=0.1; TakeProfit=280; StopLoss=120; TrailingStop=230; BreakEven=0; MaxPosition=1; OrderIntervalMinuts=0; Slippage=30; SpreadlimitPip=5; MagicNumber=1260000; Tenkan_sen=9; Kijyun_sen=26; Senkou_span_b=52; ATRPeriod=7; ATRWPRPeriod=50; ATRMulti=10; WPRPeriod=20; FractalBreakCount=3;
USDJPY,H1,5,ichimokuEA,2012.01.02,2015.03.15,196,1.73,3.58,47.96,42.62,50.37,7,4,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/ichimokuEA-USDJPYH1-2012.01.02-2015.03.15x196PF1.73DD3.58.htm"),Lots=0.1; TakeProfit=280; StopLoss=120; TrailingStop=230; BreakEven=0; MaxPosition=1; OrderIntervalMinuts=0; Slippage=30; SpreadlimitPip=5; MagicNumber=1260000; Tenkan_sen=9; Kijyun_sen=26; Senkou_span_b=52; ATRPeriod=7; ATRWPRPeriod=50; ATRMulti=10; WPRPeriod=20; FractalBreakCount=3;
GBPJPY,H1,5,ichimokuEA2,2012.01.02,2014.12.28,241,1.71,9.43,70.54,60.61,72.12,7,4,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/ichimokuEA2-GBPJPYH1-2012.01.02-2014.12.28x241PF1.71DD9.43.htm"),Lots=0.1; TakeProfit=140; StopLoss=140; TrailingStop=70; BreakEven=50; MaxPosition=1; OrderIntervalMinuts=240; Slippage=30; SpreadlimitPip=5; MagicNumber=12345678; Tenkan_sen=9; Kijyun_sen=26; Senkou_span_b=52; ATRPeriod=14; ATRWPRPeriod=50; ATRMulti=10; WPRPeriod=50; FractalBreakCount=3;
USDJPY,H1,5,ichimokuEA2,2012.01.02,2014.12.28,159,2.05,7.47,75.47,61.54,78.20,13,3,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/ichimokuEA2-USDJPYH1-2012.01.02-2014.12.28x159PF2.05DD7.47.htm"),Lots=0.1; TakeProfit=140; StopLoss=140; TrailingStop=70; BreakEven=50; MaxPosition=1; OrderIntervalMinuts=240; Slippage=30; SpreadlimitPip=5; MagicNumber=12345678; Tenkan_sen=9; Kijyun_sen=26; Senkou_span_b=52; ATRPeriod=14; ATRWPRPeriod=50; ATRMulti=10; WPRPeriod=50; FractalBreakCount=3;
GBPJPY,H1,5,ichimokuEA3,2012.01.02,2014.12.28,242,1.81,11.39,74.79,64.71,76.44,15,4,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/ichimokuEA3-GBPJPYH1-2012.01.02-2014.12.28x242PF1.81DD11.39.htm"),Lots=0.1; TakeProfit=170; StopLoss=170; TrailingStop=50; TrailingMinimumProfit=70; BreakEven=50; MaxPosition=1; OrderIntervalMinuts=240; Slippage=30; SpreadlimitPip=5; MagicNumber=12345678; Tenkan_sen=9; Kijyun_sen=26; Senkou_span_b=52; ATRPeriod=14; ATRWPRPeriod=50; ATRMulti=10; WPRPeriod=50; FractalBreakCount=3;
USDJPY,H1,5,ichimokuEA3,2012.01.02,2014.12.28,162,2.78,3.98,75.93,67.74,77.86,13,2,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/ichimokuEA3-USDJPYH1-2012.01.02-2014.12.28x162PF2.78DD3.98.htm"),Lots=0.1; TakeProfit=190; StopLoss=120; TrailingStop=90; TrailingMinimumProfit=50; BreakEven=50; MaxPosition=1; OrderIntervalMinuts=240; Slippage=30; SpreadlimitPip=5; MagicNumber=12345678; Tenkan_sen=9; Kijyun_sen=26; Senkou_span_b=52; ATRPeriod=14; ATRWPRPeriod=50; ATRMulti=10; WPRPeriod=50; FractalBreakCount=3;
USDJPY,M15,5,ikePennantBreak,2012.01.01,2014.12.29,467,1.36,3.65,68.09,67.97,68.22,14,7,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/ikePennantBreak-USDJPYM15-2012.01.01-2014.12.29x467PF1.36DD3.65.htm"),DynamicLotSize=false;
GBPJPY,H1,5,ScalpelMod,2012.01.02,2014.12.27,304,1.55,6.90,74.67,75.23,74.36,17,5,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/ScalpelMod-GBPJPYH1-2012.01.02-2014.12.27x304PF1.55DD6.90.htm"),Lots=0.1; TakeProfit=200; StopLoss=150; TrailingStop=50; cciPeriod=14; cciLimit=75; MaxPos=1; Interval=0; Reduce=600; Live=0; Volatility=100; Threshold=1; FridayClose=0; slippage=3; Reverse=false;
GBPJPY,H1,5,ScalpelModD,2012.01.02,2014.12.27,135,1.27,17.27,50.37,42.00,55.29,6,6,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/ScalpelModD-GBPJPYH1-2012.01.02-2014.12.27x135PF1.27DD17.27.htm"),Lots=0.1; TakeProfit=200; StopLoss=150; TrailingStop=150; cciPeriod=14; cciLimit=75; MaxPos=1; Interval=0; Reduce=600; Live=0; Volatility=100; Threshold=1; FridayClose=0; slippage=3; Reverse=false;
GBPJPY,M15,5,ScalpelModD,2012.01.02,2014.12.27,176,1.65,6.94,56.82,54.72,57.72,7,4,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/ScalpelModD-GBPJPYM15-2012.01.02-2014.12.27x176PF1.65DD6.94.htm"),Lots=0.1; TakeProfit=200; StopLoss=150; TrailingStop=150; cciPeriod=14; cciLimit=75; MaxPos=1; Interval=0; Reduce=600; Live=0; Volatility=100; Threshold=1; FridayClose=0; slippage=3; Reverse=false;
USDJPY,H1,5,Shintaro004D,2012.01.02,2014.12.27,45,1.33,2.27,37.78,31.25,41.38,2,7,=HYPERLINK("file://F:\Users\ikechan\Documents\Pythonwork\convMT2TestReport\result/Shintaro004D-USDJPYH1-2012.01.02-2014.12.27x45PF1.33DD2.27.htm"),SectionMM="----MoneyManagement----"; DynamicLotSize=false;
